id,name,company_url,monitoring_url
0,Hypontech,https://www.hypon.com,https://www.hypon.cloud/
3,EAS Solar,https://easelectric.es,https://johnsoneasplus.es
4,Nexen,https://nexen.com.br,https://solarnexpro.nexen.com.br/
